UF,Objetivo Estratégico,Descrição Indicador,Meta de 2025,Resultado de 2025,Unnamed: 5,Ano,Mes
ES,-,Municípios Reconhecidos pela efetividade da sua agenda de empreendedorismo e inovação,"20,00","0,00",,2025,Abril
ES,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Produtividade,"16,50","0,00",,2025,Abril
ES,"Promover um relacionamento acessível, integrado, resolutivo, ágil e transformador",Recomendação do Sebrae (NPS),"83,00","92,50",,2025,Abril
ES,-,Recorrência do Atendimento,"42,00","41,64",,2025,Abril
ES,Elevar a competitividade e produtividade dos Pequenos Negócios,Clientes com garantia do FAMPE assistidos na fase pós-crédito,"50,00","25,31",,2025,Maio
ES,-,Cobertura de clientes de grupos sub-representados,"57,00","89,06",,2025,Maio
ES,Ampliar a cobertura e efetividade do Atendimento,Cobertura do Atendimento (ME+EPP),"33,98","13,25",,2025,Maio
ES,-,Cobertura do Atendimento a Estudantes,"8,24","0,45",,2025,Maio
ES,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Faturamento,"8,00","0,00",,2025,Maio
ES,-,Municípios Reconhecidos pela efetividade da sua agenda de empreendedorismo e inovação,"20,00","0,00",,2025,Maio
ES,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Produtividade,"16,50","0,00",,2025,Maio
ES,"Promover um relacionamento acessível, integrado, resolutivo, ágil e transformador",Recomendação do Sebrae (NPS),"83,00","92,69",,2025,Maio
ES,-,Recorrência do Atendimento,"42,00","46,41",,2025,Maio
ES,Elevar a competitividade e produtividade dos Pequenos Negócios,Clientes com garantia do FAMPE assistidos na fase pós-crédito,"50,00","44,59",,2025,Junho
ES,-,Cobertura de clientes de grupos sub-representados,"57,00","87,95",,2025,Junho
ES,Ampliar a cobertura e efetividade do Atendimento,Cobertura do Atendimento (ME+EPP),"33,98","17,04",,2025,Junho
ES,-,Cobertura do Atendimento a Estudantes,"8,24","1,05",,2025,Junho
ES,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Faturamento,"8,00","0,00",,2025,Junho
ES,-,Municípios Reconhecidos pela efetividade da sua agenda de empreendedorismo e inovação,"20,00","92,31",,2025,Junho
ES,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Produtividade,"16,50","8,52",,2025,Junho
ES,"Promover um relacionamento acessível, integrado, resolutivo, ágil e transformador",Recomendação do Sebrae (NPS),"83,00","92,44",,2025,Junho
ES,-,Recorrência do Atendimento,"42,00","53,79",,2025,Junho
ES,Elevar a competitividade e produtividade dos Pequenos Negócios,Clientes com garantia do FAMPE assistidos na fase pós-crédito,"50,00","51,38",,2025,Julho
ES,-,Cobertura de clientes de grupos sub-representados,"57,00","87,95",,2025,Julho
ES,Ampliar a cobertura e efetividade do Atendimento,Cobertura do Atendimento (ME+EPP),"33,98","20,30",,2025,Julho
ES,-,Cobertura do Atendimento a Estudantes,"8,24","1,72",,2025,Julho
ES,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Faturamento,"8,00","0,00",,2025,Julho
ES,-,Municípios Reconhecidos pela efetividade da sua agenda de empreendedorismo e inovação,"20,00","92,31",,2025,Julho
ES,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Produtividade,"16,50","8,52",,2025,Julho
ES,"Promover um relacionamento acessível, integrado, resolutivo, ágil e transformador",Recomendação do Sebrae (NPS),"83,00","91,63",,2025,Julho
ES,-,Recorrência do Atendimento,"42,00","56,28",,2025,Julho
ES,Elevar a competitividade e produtividade dos Pequenos Negócios,Clientes com garantia do FAMPE assistidos na fase pós-crédito,"50,00","51,38",,2025,Agosto
ES,-,Cobertura de clientes de grupos sub-representados,"57,00","87,95",,2025,Agosto
ES,Ampliar a cobertura e efetividade do Atendimento,Cobertura do Atendimento (ME+EPP),"33,98","21,54",,2025,Agosto
ES,-,Cobertura do Atendimento a Estudantes,"8,24","1,72",,2025,Agosto
ES,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Faturamento,"8,00","0,00",,2025,Agosto
ES,-,Municípios Reconhecidos pela efetividade da sua agenda de empreendedorismo e inovação,"20,00","92,31",,2025,Agosto
ES,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Produtividade,"16,50","8,52",,2025,Agosto
ES,"Promover um relacionamento acessível, integrado, resolutivo, ágil e transformador",Recomendação do Sebrae (NPS),"83,00","91,63",,2025,Agosto
ES,-,Recorrência do Atendimento,"42,00","56,28",,2025,Agosto
ES,Elevar a competitividade e produtividade dos Pequenos Negócios,Clientes com garantia do FAMPE assistidos na fase pós-crédito,"0,00","0,00",,2025,Setembro
ES,-,Cobertura de clientes de grupos sub-representados,"0,00","0,00",,2025,Setembro
ES,Ampliar a cobertura e efetividade do Atendimento,Cobertura do Atendimento (ME+EPP),"0,00","0,00",,2025,Setembro
ES,-,Cobertura do Atendimento a Estudantes,"0,00","0,00",,2025,Setembro
ES,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Faturamento,"0,00","0,00",,2025,Setembro
ES,-,Municípios Reconhecidos pela efetividade da sua agenda de empreendedorismo e inovação,"0,00","0,00",,2025,Setembro
ES,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Produtividade,"0,00","0,00",,2025,Setembro
ES,"Promover um relacionamento acessível, integrado, resolutivo, ágil e transformador",Recomendação do Sebrae (NPS),"0,00","0,00",,2025,Setembro
ES,-,Recorrência do Atendimento,"0,00","0,00",,2025,Setembro
ES,Elevar a competitividade e produtividade dos Pequenos Negócios,Clientes com garantia do FAMPE assistidos na fase pós-crédito,"0,00","0,00",,2025,Outubro
ES,-,Cobertura de clientes de grupos sub-representados,"0,00","0,00",,2025,Outubro
ES,Ampliar a cobertura e efetividade do Atendimento,Cobertura do Atendimento (ME+EPP),"0,00","0,00",,2025,Outubro
ES,-,Cobertura do Atendimento a Estudantes,"0,00","0,00",,2025,Outubro
ES,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Faturamento,"0,00","0,00",,2025,Outubro
ES,-,Municípios Reconhecidos pela efetividade da sua agenda de empreendedorismo e inovação,"0,00","0,00",,2025,Outubro
ES,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Produtividade,"0,00","0,00",,2025,Outubro
ES,"Promover um relacionamento acessível, integrado, resolutivo, ágil e transformador",Recomendação do Sebrae (NPS),"0,00","0,00",,2025,Outubro
ES,-,Recorrência do Atendimento,"0,00","0,00",,2025,Outubro
ES,Elevar a competitividade e produtividade dos Pequenos Negócios,Clientes com garantia do FAMPE assistidos na fase pós-crédito,"0,00","0,00",,2025,Novembro
ES,-,Cobertura de clientes de grupos sub-representados,"0,00","0,00",,2025,Novembro
ES,Ampliar a cobertura e efetividade do Atendimento,Cobertura do Atendimento (ME+EPP),"0,00","0,00",,2025,Novembro
ES,-,Cobertura do Atendimento a Estudantes,"0,00","0,00",,2025,Novembro
ES,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Faturamento,"0,00","0,00",,2025,Novembro
ES,-,Municípios Reconhecidos pela efetividade da sua agenda de empreendedorismo e inovação,"0,00","0,00",,2025,Novembro
ES,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Produtividade,"0,00","0,00",,2025,Novembro
ES,"Promover um relacionamento acessível, integrado, resolutivo, ágil e transformador",Recomendação do Sebrae (NPS),"0,00","0,00",,2025,Novembro
ES,-,Recorrência do Atendimento,"0,00","0,00",,2025,Novembro
GO,Elevar a competitividade e produtividade dos Pequenos Negócios,Clientes com garantia do FAMPE assistidos na fase pós-crédito,"70,00","22,29",,2025,Janeiro
GO,-,Cobertura de clientes de grupos sub-representados,"50,00","0,00",,2025,Janeiro
GO,Ampliar a cobertura e efetividade do Atendimento,Cobertura do Atendimento (ME+EPP),"28,00","5,85",,2025,Janeiro
GO,-,Cobertura do Atendimento a Estudantes,"9,20","0,00",,2025,Janeiro
GO,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Faturamento,"12,00","0,00",,2025,Janeiro
GO,-,Municípios Reconhecidos pela efetividade da sua agenda de empreendedorismo e inovação,"36,60","0,00",,2025,Janeiro
GO,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Produtividade,"18,00","0,00",,2025,Janeiro
GO,"Promover um relacionamento acessível, integrado, resolutivo, ágil e transformador",Recomendação do Sebrae (NPS),"80,00","92,93",,2025,Janeiro
GO,-,Recorrência do Atendimento,"63,00","47,82",,2025,Janeiro
GO,Elevar a competitividade e produtividade dos Pequenos Negócios,Clientes com garantia do FAMPE assistidos na fase pós-crédito,"70,00","23,67",,2025,Fevereiro
GO,-,Cobertura de clientes de grupos sub-representados,"50,00","0,00",,2025,Fevereiro
GO,Ampliar a cobertura e efetividade do Atendimento,Cobertura do Atendimento (ME+EPP),"28,00","10,19",,2025,Fevereiro
GO,-,Cobertura do Atendimento a Estudantes,"9,20","1,27",,2025,Fevereiro
GO,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Faturamento,"12,00","0,00",,2025,Fevereiro
GO,-,Municípios Reconhecidos pela efetividade da sua agenda de empreendedorismo e inovação,"36,60","0,00",,2025,Fevereiro
GO,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Produtividade,"18,00","0,00",,2025,Fevereiro
GO,"Promover um relacionamento acessível, integrado, resolutivo, ágil e transformador",Recomendação do Sebrae (NPS),"80,00","92,02",,2025,Fevereiro
GO,-,Recorrência do Atendimento,"63,00","44,47",,2025,Fevereiro
GO,Elevar a competitividade e produtividade dos Pequenos Negócios,Clientes com garantia do FAMPE assistidos na fase pós-crédito,"70,00","26,18",,2025,Março
GO,-,Cobertura de clientes de grupos sub-representados,"50,00","87,08",,2025,Março
GO,Ampliar a cobertura e efetividade do Atendimento,Cobertura do Atendimento (ME+EPP),"28,00","13,14",,2025,Março
GO,-,Cobertura do Atendimento a Estudantes,"9,20","1,56",,2025,Março
GO,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Faturamento,"12,00","0,00",,2025,Março
GO,-,Municípios Reconhecidos pela efetividade da sua agenda de empreendedorismo e inovação,"36,60","41,87",,2025,Março
GO,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Produtividade,"18,00","0,00",,2025,Março
GO,"Promover um relacionamento acessível, integrado, resolutivo, ágil e transformador",Recomendação do Sebrae (NPS),"80,00","91,03",,2025,Março
GO,-,Recorrência do Atendimento,"63,00","55,35",,2025,Março
GO,Elevar a competitividade e produtividade dos Pequenos Negócios,Clientes com garantia do FAMPE assistidos na fase pós-crédito,"70,00","40,81",,2025,Abril
GO,-,Cobertura de clientes de grupos sub-representados,"50,00","87,08",,2025,Abril
GO,Ampliar a cobertura e efetividade do Atendimento,Cobertura do Atendimento (ME+EPP),"28,00","16,03",,2025,Abril
GO,-,Cobertura do Atendimento a Estudantes,"9,20","7,06",,2025,Abril
GO,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Faturamento,"12,00","0,00",,2025,Abril
GO,-,Municípios Reconhecidos pela efetividade da sua agenda de empreendedorismo e inovação,"36,60","41,87",,2025,Abril
GO,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Produtividade,"18,00","0,00",,2025,Abril
GO,"Promover um relacionamento acessível, integrado, resolutivo, ágil e transformador",Recomendação do Sebrae (NPS),"80,00","91,35",,2025,Abril
GO,-,Recorrência do Atendimento,"63,00","54,63",,2025,Abril
GO,Elevar a competitividade e produtividade dos Pequenos Negócios,Clientes com garantia do FAMPE assistidos na fase pós-crédito,"70,00","46,79",,2025,Maio
GO,-,Cobertura de clientes de grupos sub-representados,"50,00","87,08",,2025,Maio
GO,Ampliar a cobertura e efetividade do Atendimento,Cobertura do Atendimento (ME+EPP),"28,00","21,07",,2025,Maio
GO,-,Cobertura do Atendimento a Estudantes,"9,20","9,82",,2025,Maio
GO,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Faturamento,"12,00","0,00",,2025,Maio
GO,-,Municípios Reconhecidos pela efetividade da sua agenda de empreendedorismo e inovação,"36,60","41,87",,2025,Maio
GO,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Produtividade,"18,00","0,00",,2025,Maio
GO,"Promover um relacionamento acessível, integrado, resolutivo, ágil e transformador",Recomendação do Sebrae (NPS),"80,00","91,56",,2025,Maio
GO,-,Recorrência do Atendimento,"63,00","68,00",,2025,Maio
GO,Elevar a competitividade e produtividade dos Pequenos Negócios,Clientes com garantia do FAMPE assistidos na fase pós-crédito,"70,00","48,91",,2025,Junho
GO,-,Cobertura de clientes de grupos sub-representados,"50,00","85,65",,2025,Junho
GO,Ampliar a cobertura e efetividade do Atendimento,Cobertura do Atendimento (ME+EPP),"28,00","24,18",,2025,Junho
GO,-,Cobertura do Atendimento a Estudantes,"9,20","11,19",,2025,Junho
GO,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Faturamento,"12,00","0,00",,2025,Junho
GO,-,Municípios Reconhecidos pela efetividade da sua agenda de empreendedorismo e inovação,"36,60","41,87",,2025,Junho
GO,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Produtividade,"18,00","29,78",,2025,Junho
GO,"Promover um relacionamento acessível, integrado, resolutivo, ágil e transformador",Recomendação do Sebrae (NPS),"80,00","91,46",,2025,Junho
GO,-,Recorrência do Atendimento,"63,00","74,62",,2025,Junho
GO,Elevar a competitividade e produtividade dos Pequenos Negócios,Clientes com garantia do FAMPE assistidos na fase pós-crédito,"70,00","55,78",,2025,Julho
GO,-,Cobertura de clientes de grupos sub-representados,"50,00","85,65",,2025,Julho
GO,Ampliar a cobertura e efetividade do Atendimento,Cobertura do Atendimento (ME+EPP),"28,00","26,52",,2025,Julho
GO,-,Cobertura do Atendimento a Estudantes,"9,20","11,59",,2025,Julho
GO,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Faturamento,"12,00","0,00",,2025,Julho
GO,-,Municípios Reconhecidos pela efetividade da sua agenda de empreendedorismo e inovação,"36,60","41,87",,2025,Julho
GO,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Produtividade,"18,00","29,78",,2025,Julho
GO,"Promover um relacionamento acessível, integrado, resolutivo, ágil e transformador",Recomendação do Sebrae (NPS),"80,00","91,40",,2025,Julho
GO,-,Recorrência do Atendimento,"63,00","73,33",,2025,Julho
GO,Elevar a competitividade e produtividade dos Pequenos Negócios,Clientes com garantia do FAMPE assistidos na fase pós-crédito,"70,00","55,78",,2025,Agosto
GO,-,Cobertura de clientes de grupos sub-representados,"50,00","85,65",,2025,Agosto
GO,Ampliar a cobertura e efetividade do Atendimento,Cobertura do Atendimento (ME+EPP),"28,00","27,37",,2025,Agosto
GO,-,Cobertura do Atendimento a Estudantes,"9,20","11,59",,2025,Agosto
GO,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Faturamento,"12,00","0,00",,2025,Agosto
GO,-,Municípios Reconhecidos pela efetividade da sua agenda de empreendedorismo e inovação,"36,60","41,87",,2025,Agosto
GO,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Produtividade,"18,00","29,78",,2025,Agosto
GO,"Promover um relacionamento acessível, integrado, resolutivo, ágil e transformador",Recomendação do Sebrae (NPS),"80,00","91,40",,2025,Agosto
GO,-,Recorrência do Atendimento,"63,00","73,33",,2025,Agosto
GO,Elevar a competitividade e produtividade dos Pequenos Negócios,Clientes com garantia do FAMPE assistidos na fase pós-crédito,"0,00","0,00",,2025,Setembro
GO,-,Cobertura de clientes de grupos sub-representados,"0,00","0,00",,2025,Setembro
GO,Ampliar a cobertura e efetividade do Atendimento,Cobertura do Atendimento (ME+EPP),"0,00","0,00",,2025,Setembro
GO,-,Cobertura do Atendimento a Estudantes,"0,00","0,00",,2025,Setembro
GO,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Faturamento,"0,00","0,00",,2025,Setembro
GO,-,Municípios Reconhecidos pela efetividade da sua agenda de empreendedorismo e inovação,"0,00","0,00",,2025,Setembro
GO,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Produtividade,"0,00","0,00",,2025,Setembro
GO,"Promover um relacionamento acessível, integrado, resolutivo, ágil e transformador",Recomendação do Sebrae (NPS),"0,00","0,00",,2025,Setembro
GO,-,Recorrência do Atendimento,"0,00","0,00",,2025,Setembro
GO,Elevar a competitividade e produtividade dos Pequenos Negócios,Clientes com garantia do FAMPE assistidos na fase pós-crédito,"0,00","0,00",,2025,Outubro
GO,-,Cobertura de clientes de grupos sub-representados,"0,00","0,00",,2025,Outubro
GO,Ampliar a cobertura e efetividade do Atendimento,Cobertura do Atendimento (ME+EPP),"0,00","0,00",,2025,Outubro
GO,-,Cobertura do Atendimento a Estudantes,"0,00","0,00",,2025,Outubro
GO,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Faturamento,"0,00","0,00",,2025,Outubro
GO,-,Municípios Reconhecidos pela efetividade da sua agenda de empreendedorismo e inovação,"0,00","0,00",,2025,Outubro
GO,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Produtividade,"0,00","0,00",,2025,Outubro
GO,"Promover um relacionamento acessível, integrado, resolutivo, ágil e transformador",Recomendação do Sebrae (NPS),"0,00","0,00",,2025,Outubro
GO,-,Recorrência do Atendimento,"0,00","0,00",,2025,Outubro
GO,Elevar a competitividade e produtividade dos Pequenos Negócios,Clientes com garantia do FAMPE assistidos na fase pós-crédito,"0,00","0,00",,2025,Novembro
GO,-,Cobertura de clientes de grupos sub-representados,"0,00","0,00",,2025,Novembro
GO,Ampliar a cobertura e efetividade do Atendimento,Cobertura do Atendimento (ME+EPP),"0,00","0,00",,2025,Novembro
GO,-,Cobertura do Atendimento a Estudantes,"0,00","0,00",,2025,Novembro
GO,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Faturamento,"0,00","0,00",,2025,Novembro
GO,-,Municípios Reconhecidos pela efetividade da sua agenda de empreendedorismo e inovação,"0,00","0,00",,2025,Novembro
GO,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Produtividade,"0,00","0,00",,2025,Novembro
GO,"Promover um relacionamento acessível, integrado, resolutivo, ágil e transformador",Recomendação do Sebrae (NPS),"0,00","0,00",,2025,Novembro
GO,-,Recorrência do Atendimento,"0,00","0,00",,2025,Novembro
MA,Elevar a competitividade e produtividade dos Pequenos Negócios,Clientes com garantia do FAMPE assistidos na fase pós-crédito,"45,00","6,33",,2025,Janeiro
MA,-,Cobertura de clientes de grupos sub-representados,"44,00","0,00",,2025,Janeiro
MA,Ampliar a cobertura e efetividade do Atendimento,Cobertura do Atendimento (ME+EPP),"32,00","3,29",,2025,Janeiro
MA,-,Cobertura do Atendimento a Estudantes,"5,60","0,00",,2025,Janeiro
MA,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Faturamento,"12,00","0,00",,2025,Janeiro
MA,-,Municípios Reconhecidos pela efetividade da sua agenda de empreendedorismo e inovação,"27,00","0,00",,2025,Janeiro
MA,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Produtividade,"18,60","0,00",,2025,Janeiro
MA,"Promover um relacionamento acessível, integrado, resolutivo, ágil e transformador",Recomendação do Sebrae (NPS),"84,00","94,74",,2025,Janeiro
MA,-,Recorrência do Atendimento,"73,40","34,32",,2025,Janeiro
MA,Elevar a competitividade e produtividade dos Pequenos Negócios,Clientes com garantia do FAMPE assistidos na fase pós-crédito,"45,00","15,00",,2025,Fevereiro
MA,-,Cobertura de clientes de grupos sub-representados,"44,00","0,00",,2025,Fevereiro
MA,Ampliar a cobertura e efetividade do Atendimento,Cobertura do Atendimento (ME+EPP),"32,00","6,38",,2025,Fevereiro
MA,-,Cobertura do Atendimento a Estudantes,"5,60","0,04",,2025,Fevereiro
MA,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Faturamento,"12,00","0,00",,2025,Fevereiro
MA,-,Municípios Reconhecidos pela efetividade da sua agenda de empreendedorismo e inovação,"27,00","0,00",,2025,Fevereiro
MA,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Produtividade,"18,60","0,00",,2025,Fevereiro
MA,"Promover um relacionamento acessível, integrado, resolutivo, ágil e transformador",Recomendação do Sebrae (NPS),"84,00","92,89",,2025,Fevereiro
MA,-,Recorrência do Atendimento,"73,40","38,88",,2025,Fevereiro
MA,Elevar a competitividade e produtividade dos Pequenos Negócios,Clientes com garantia do FAMPE assistidos na fase pós-crédito,"45,00","20,99",,2025,Março
MA,-,Cobertura de clientes de grupos sub-representados,"44,00","85,22",,2025,Março
MA,Ampliar a cobertura e efetividade do Atendimento,Cobertura do Atendimento (ME+EPP),"32,00","9,35",,2025,Março
MA,-,Cobertura do Atendimento a Estudantes,"5,60","0,05",,2025,Março
MA,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Faturamento,"12,00","0,00",,2025,Março
MA,-,Municípios Reconhecidos pela efetividade da sua agenda de empreendedorismo e inovação,"27,00","0,00",,2025,Março
MA,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Produtividade,"18,60","0,00",,2025,Março
MA,"Promover um relacionamento acessível, integrado, resolutivo, ágil e transformador",Recomendação do Sebrae (NPS),"84,00","92,20",,2025,Março
MA,-,Recorrência do Atendimento,"73,40","37,52",,2025,Março
MA,Elevar a competitividade e produtividade dos Pequenos Negócios,Clientes com garantia do FAMPE assistidos na fase pós-crédito,"45,00","27,17",,2025,Abril
MA,-,Cobertura de clientes de grupos sub-representados,"44,00","85,22",,2025,Abril
MA,Ampliar a cobertura e efetividade do Atendimento,Cobertura do Atendimento (ME+EPP),"32,00","11,91",,2025,Abril
MA,-,Cobertura do Atendimento a Estudantes,"5,60","0,06",,2025,Abril
MA,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Faturamento,"12,00","0,00",,2025,Abril
MA,-,Municípios Reconhecidos pela efetividade da sua agenda de empreendedorismo e inovação,"27,00","0,00",,2025,Abril
MA,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Produtividade,"18,60","0,00",,2025,Abril
MA,"Promover um relacionamento acessível, integrado, resolutivo, ágil e transformador",Recomendação do Sebrae (NPS),"84,00","92,01",,2025,Abril
MA,-,Recorrência do Atendimento,"73,40","36,50",,2025,Abril
MA,Elevar a competitividade e produtividade dos Pequenos Negócios,Clientes com garantia do FAMPE assistidos na fase pós-crédito,"45,00","32,21",,2025,Maio
MA,-,Cobertura de clientes de grupos sub-representados,"44,00","85,22",,2025,Maio
MA,Ampliar a cobertura e efetividade do Atendimento,Cobertura do Atendimento (ME+EPP),"32,00","17,65",,2025,Maio
MA,-,Cobertura do Atendimento a Estudantes,"5,60","0,82",,2025,Maio
MA,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Faturamento,"12,00","0,00",,2025,Maio
MA,-,Municípios Reconhecidos pela efetividade da sua agenda de empreendedorismo e inovação,"27,00","0,00",,2025,Maio
MA,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Produtividade,"18,60","0,00",,2025,Maio
MA,"Promover um relacionamento acessível, integrado, resolutivo, ágil e transformador",Recomendação do Sebrae (NPS),"84,00","91,30",,2025,Maio
MA,-,Recorrência do Atendimento,"73,40","62,21",,2025,Maio
MA,Elevar a competitividade e produtividade dos Pequenos Negócios,Clientes com garantia do FAMPE assistidos na fase pós-crédito,"45,00","38,28",,2025,Junho
MA,-,Cobertura de clientes de grupos sub-representados,"44,00","85,84",,2025,Junho
MA,Ampliar a cobertura e efetividade do Atendimento,Cobertura do Atendimento (ME+EPP),"32,00","21,45",,2025,Junho
MA,-,Cobertura do Atendimento a Estudantes,"5,60","1,18",,2025,Junho
MA,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Faturamento,"12,00","0,00",,2025,Junho
MA,-,Municípios Reconhecidos pela efetividade da sua agenda de empreendedorismo e inovação,"27,00","44,24",,2025,Junho
MA,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Produtividade,"18,60","2,20",,2025,Junho
MA,"Promover um relacionamento acessível, integrado, resolutivo, ágil e transformador",Recomendação do Sebrae (NPS),"84,00","90,41",,2025,Junho
MA,-,Recorrência do Atendimento,"73,40","71,10",,2025,Junho
MA,Elevar a competitividade e produtividade dos Pequenos Negócios,Clientes com garantia do FAMPE assistidos na fase pós-crédito,"45,00","40,13",,2025,Julho
MA,-,Cobertura de clientes de grupos sub-representados,"44,00","85,84",,2025,Julho
MA,Ampliar a cobertura e efetividade do Atendimento,Cobertura do Atendimento (ME+EPP),"32,00","24,63",,2025,Julho
MA,-,Cobertura do Atendimento a Estudantes,"5,60","1,21",,2025,Julho
MA,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Faturamento,"12,00","0,00",,2025,Julho
MA,-,Municípios Reconhecidos pela efetividade da sua agenda de empreendedorismo e inovação,"27,00","44,24",,2025,Julho
MA,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Produtividade,"18,60","2,20",,2025,Julho
MA,"Promover um relacionamento acessível, integrado, resolutivo, ágil e transformador",Recomendação do Sebrae (NPS),"84,00","89,84",,2025,Julho
MA,-,Recorrência do Atendimento,"73,40","71,79",,2025,Julho
MA,Elevar a competitividade e produtividade dos Pequenos Negócios,Clientes com garantia do FAMPE assistidos na fase pós-crédito,"45,00","40,13",,2025,Agosto
MA,-,Cobertura de clientes de grupos sub-representados,"44,00","85,84",,2025,Agosto
MA,Ampliar a cobertura e efetividade do Atendimento,Cobertura do Atendimento (ME+EPP),"32,00","26,05",,2025,Agosto
MA,-,Cobertura do Atendimento a Estudantes,"5,60","1,21",,2025,Agosto
MA,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Faturamento,"12,00","0,00",,2025,Agosto
MA,-,Municípios Reconhecidos pela efetividade da sua agenda de empreendedorismo e inovação,"27,00","44,24",,2025,Agosto
MA,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Produtividade,"18,60","2,20",,2025,Agosto
MA,"Promover um relacionamento acessível, integrado, resolutivo, ágil e transformador",Recomendação do Sebrae (NPS),"84,00","89,84",,2025,Agosto
MA,-,Recorrência do Atendimento,"73,40","71,79",,2025,Agosto
MA,Elevar a competitividade e produtividade dos Pequenos Negócios,Clientes com garantia do FAMPE assistidos na fase pós-crédito,"0,00","0,00",,2025,Setembro
MA,-,Cobertura de clientes de grupos sub-representados,"0,00","0,00",,2025,Setembro
MA,Ampliar a cobertura e efetividade do Atendimento,Cobertura do Atendimento (ME+EPP),"0,00","0,00",,2025,Setembro
MA,-,Cobertura do Atendimento a Estudantes,"0,00","0,00",,2025,Setembro
MA,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Faturamento,"0,00","0,00",,2025,Setembro
MA,-,Municípios Reconhecidos pela efetividade da sua agenda de empreendedorismo e inovação,"0,00","0,00",,2025,Setembro
MA,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Produtividade,"0,00","0,00",,2025,Setembro
MA,"Promover um relacionamento acessível, integrado, resolutivo, ágil e transformador",Recomendação do Sebrae (NPS),"0,00","0,00",,2025,Setembro
MA,-,Recorrência do Atendimento,"0,00","0,00",,2025,Setembro
MA,Elevar a competitividade e produtividade dos Pequenos Negócios,Clientes com garantia do FAMPE assistidos na fase pós-crédito,"0,00","0,00",,2025,Outubro
MA,-,Cobertura de clientes de grupos sub-representados,"0,00","0,00",,2025,Outubro
MA,Ampliar a cobertura e efetividade do Atendimento,Cobertura do Atendimento (ME+EPP),"0,00","0,00",,2025,Outubro
MA,-,Cobertura do Atendimento a Estudantes,"0,00","0,00",,2025,Outubro
MA,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Faturamento,"0,00","0,00",,2025,Outubro
MA,-,Municípios Reconhecidos pela efetividade da sua agenda de empreendedorismo e inovação,"0,00","0,00",,2025,Outubro
MA,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Produtividade,"0,00","0,00",,2025,Outubro
MA,"Promover um relacionamento acessível, integrado, resolutivo, ágil e transformador",Recomendação do Sebrae (NPS),"0,00","0,00",,2025,Outubro
MA,-,Recorrência do Atendimento,"0,00","0,00",,2025,Outubro
