Nome Sebrae,Descrição Tipo Iniciativa,Descrição Tipologia Iniciativa,Número Iniciativa,Nome Iniciativa,Nome Unidade Organizacional,Total de Despesa Orçado - Ajustado em 2025,Total do Valor de Despesa Executado em 2025,Total de Atendimentos em 2025,Clientes Atendidos em 2025,Unnamed: 10,Ano,Mes
SEBRAE/ES,Projeto,Atendimento direto pelo Sebrae,ES025750PJAS,AceleraTur - Serrana,ES - Unidade Regional Serrana,"120.000,00","0,00",0.0,0.0,,2025,Abril
SEBRAE/ES,Projeto,Atendimento direto pelo Sebrae,ES025745PJAS,AceleraTur Caparaó,ES - Unidade Regional Caparaó,"180.000,00","9.448,99",0.0,0.0,,2025,Abril
SEBRAE/ES,Projeto,Atendimento direto pelo Sebrae,ES025747PJAS,AceleraTur Metropolitana - Meios de Hospedagem,ES - Unidade Regional Metropolitana,"202.000,00","0,00",0.0,0.0,,2025,Abril
SEBRAE/ES,Projeto,Atendimento direto pelo Sebrae,ES025746PJAS,AceleraTur Norte - Rotas quilombolas,ES - Unidade Regional Norte,"120.000,00","0,00",0.0,0.0,,2025,Abril
SEBRAE/ES,Projeto,Atendimento direto pelo Sebrae,ES025748PJAS,AceleraTur Sul - Bares e Restaurantes,ES - Unidade Regional Sul,"120.000,00","0,00",0.0,0.0,,2025,Abril
SEBRAE/ES,Atividade,Gestão Operacional,ES000988ATOE,Acompanhamento dos Processos Judiciais,ES - Assessoria Jurídica,"79.700,00","44.144,82",0.0,0.0,,2025,Abril
SEBRAE/ES,Atividade,Gestão Operacional,ES000682ATGO,Administração de Pessoal - Custeio Administrativo,ES - Unidade de Gestão de Pessoas,"395.000,00","113.248,44",0.0,0.0,,2025,Abril
SEBRAE/ES,Projeto,Atendimento direto pelo Sebrae,ES025744PJAS,Agentes de Competitividade,ES - Unidade de Competitividade e Produtividade,"443.608,00","0,00",0.0,0.0,,2025,Abril
SEBRAE/ES,Projeto,Atendimento,ES002782PJAS,ALI Rural,ES - Unidade de Competitividade e Produtividade,"708.400,00","90.993,09",180.0,64.0,,2025,Abril
SEBRAE/ES,Projeto,Inversão Financeira,ES000987PJIF,Amortização de Empréstimos,ES - Assessoria de Planejamento Orçamentário,"3.777.882,00","1.232.804,63",0.0,0.0,,2025,Abril
SEBRAE/ES,Atividade,Desenvolvimento de Produtos e Serviços,ES002745ATPS,Bodyshop - ID,"ES - Unidade de Projetos, Processos e Inteligência de Dados","800.000,00","99.970,67",0.0,0.0,,2025,Abril
SEBRAE/ES,Atividade,Desenvolvimento de Produtos e Serviços,ES013592ATPS,Bodyshop Automatização de Processos,"ES - Unidade de Projetos, Processos e Inteligência de Dados","1.200.000,00","118.604,23",0.0,0.0,,2025,Abril
SEBRAE/ES,Projeto,Articulação Institucional,ES002716PJAI,Cidade Empreendedora - ES,ES - Unidade de Ambiente de Negócios e Acesso ao Crédito,"6.045.120,00","470.716,29",23.0,16.0,,2025,Abril
SEBRAE/ES,Atividade,Atendimento direto pelo Sebrae,ES013586ATAS,Cliente 360º - Escritório Aracruz,ES - Unidade Regional Central,"3.234.814,00","625.134,50",6.993,4.213,,2025,Abril
SEBRAE/ES,Atividade,Atendimento direto pelo Sebrae,ES012989ATAS,Cliente 360º - Escritório Cachoeiro,ES - Unidade Regional Sul,"6.619.599,00","654.423,50",8.909,4.148,,2025,Abril
SEBRAE/ES,Atividade,Atendimento direto pelo Sebrae,ES013583ATAS,Cliente 360º - Escritório Colatina,ES - Unidade Regional Central,"5.715.449,00","772.309,39",8.526,4.922,,2025,Abril
SEBRAE/ES,Atividade,Atendimento direto pelo Sebrae,ES012988ATAS,Cliente 360º - Escritório Guarapari,ES - Unidade Regional Sul,"5.332.062,00","770.892,51",4.729,2.98,,2025,Abril
SEBRAE/ES,Atividade,Atendimento direto pelo Sebrae,ES041809ATAS,Cliente 360º - Escritório Linhares,ES - Unidade Regional Central,"2.735.752,00","227.978,58",6.193,3.177,,2025,Abril
SEBRAE/ES,Atividade,Atendimento direto pelo Sebrae,ES013577ATAS,Cliente 360º - Escritório Nova Venécia,ES - Unidade Regional Norte,"2.466.546,00","199.562,09",5.001,2.761,,2025,Abril
SEBRAE/ES,Atividade,Atendimento direto pelo Sebrae,ES012996ATAS,Cliente 360º - Escritório São Mateus,ES - Unidade Regional Norte,"3.340.023,00","1.271.789,82",4.076,2.801,,2025,Abril
SEBRAE/ES,Atividade,Atendimento direto pelo Sebrae,ES041784ATAS,Cliente 360º - Escritório Venda Nova do Imigrante,ES - Unidade Regional Serrana,"10.246.343,00","1.541.807,19",5.524,3.61,,2025,Abril
SEBRAE/ES,Atividade,Atendimento direto pelo Sebrae,ES012995ATAS,Cliente 360º - Regional Caparaó,ES - Unidade Regional Caparaó,"2.721.461,00","243.105,03",3.8,2.908,,2025,Abril
SEBRAE/ES,Atividade,Atendimento direto pelo Sebrae,ES012502ATAS,Cliente 360º - Regional Metropolitana,ES - Unidade Regional Metropolitana,"15.388.402,00","1.897.716,22",21.576,11.933,,2025,Abril
SEBRAE/ES,Projeto,Atendimento direto pelo Sebrae,ES025692PJAS,Conexões Corporativas Encadeamento Produtivo - Nestlé,ES - Unidade Regional Norte,"495.660,00","132.360,00",0.0,0.0,,2025,Abril
SEBRAE/ES,Projeto,Atendimento pela Rede Sebrae,ES024635PJAR,Crédito Orientado e Assistido no Espírito Santo,ES - Unidade de Ambiente de Negócios e Acesso ao Crédito,"900.000,00","95.143,90",43.0,40.0,,2025,Abril
SEBRAE/ES,Atividade,Gestão Operacional,ES000663ATGO,Custeio Administrativo,ES - Unidade de Administração e TIC,"3.302.159,00","897.653,91",0.0,0.0,,2025,Abril
SEBRAE/ES,Projeto,Atendimento direto pelo Sebrae,ES025743PJAS,Acelera Artesanato - Souvenirs Religiosos,ES - Unidade de Competitividade e Produtividade,"224.000,00","90.357,15",0.0,0.0,,2025,Maio
SEBRAE/ES,Projeto,Atendimento direto pelo Sebrae,ES025720PJAS,Acelera Vendas - Agroindústrias Familiares Central,ES - Unidade Regional Central,"753.620,00","14.004,14",1.0,1.0,,2025,Maio
SEBRAE/ES,Projeto,Atendimento direto pelo Sebrae,ES025721PJAS,Acelera Vendas - Agroindústrias Familiares Serrana,ES - Unidade Regional Serrana,"564.465,00","12.706,35",4.0,4.0,,2025,Maio
SEBRAE/ES,Projeto,Atendimento direto pelo Sebrae,ES025719PJAS,Acelera Vendas - Agroindústrias Familiares Sul,ES - Unidade Regional Sul,"564.466,00","4.300,35",1.0,1.0,,2025,Maio
SEBRAE/ES,Projeto,Atendimento direto pelo Sebrae,ES025718PJAS,Acelera Vendas - Indústria de Base,ES - Unidade Regional Metropolitana,"1.165.686,00","113.740,93",251.0,236.0,,2025,Maio
SEBRAE/ES,Projeto,Atendimento direto pelo Sebrae,ES025749PJAS,AceleraTur - Aracruz - Bares e Restaurantes,ES - Unidade Regional Central,"80.000,00","2.717,00",0.0,0.0,,2025,Maio
SEBRAE/ES,Projeto,Atendimento direto pelo Sebrae,ES025840PJAS,AceleraTur - Colatina - Bares e Restaurantes,ES - Unidade Regional Central,"80.000,00","0,00",0.0,0.0,,2025,Maio
SEBRAE/ES,Projeto,Atendimento direto pelo Sebrae,ES025750PJAS,AceleraTur - Serrana,ES - Unidade Regional Serrana,"120.000,00","65,00",0.0,0.0,,2025,Maio
SEBRAE/ES,Projeto,Atendimento direto pelo Sebrae,ES025745PJAS,AceleraTur Caparaó,ES - Unidade Regional Caparaó,"180.000,00","9.898,99",0.0,0.0,,2025,Maio
SEBRAE/ES,Projeto,Atendimento direto pelo Sebrae,ES025747PJAS,AceleraTur Metropolitana - Meios de Hospedagem,ES - Unidade Regional Metropolitana,"222.000,00","8.078,64",0.0,0.0,,2025,Maio
SEBRAE/ES,Projeto,Atendimento direto pelo Sebrae,ES025746PJAS,AceleraTur Norte - Rotas quilombolas,ES - Unidade Regional Norte,"120.000,00","17.440,00",0.0,0.0,,2025,Maio
SEBRAE/ES,Projeto,Atendimento direto pelo Sebrae,ES025748PJAS,AceleraTur Sul - Bares e Restaurantes,ES - Unidade Regional Sul,"120.000,00","0,00",0.0,0.0,,2025,Maio
SEBRAE/ES,Atividade,Gestão Operacional,ES000988ATOE,Acompanhamento dos Processos Judiciais,ES - Assessoria Jurídica,"466.700,00","44.144,82",0.0,0.0,,2025,Maio
SEBRAE/ES,Atividade,Gestão Operacional,ES000682ATGO,Administração de Pessoal - Custeio Administrativo,ES - Unidade de Gestão de Pessoas,"395.000,00","143.243,54",0.0,0.0,,2025,Maio
SEBRAE/ES,Projeto,Atendimento direto pelo Sebrae,ES025744PJAS,Agentes de Competitividade,ES - Unidade de Competitividade e Produtividade,"429.608,00","0,00",0.0,0.0,,2025,Maio
SEBRAE/ES,Projeto,Atendimento,ES002782PJAS,ALI Rural,ES - Unidade de Competitividade e Produtividade,"708.400,00","138.203,09",200.0,64.0,,2025,Maio
SEBRAE/ES,Projeto,Inversão Financeira,ES000987PJIF,Amortização de Empréstimos,ES - Assessoria de Planejamento Orçamentário,"3.777.882,00","1.546.396,55",0.0,0.0,,2025,Maio
SEBRAE/ES,Atividade,Desenvolvimento de Produtos e Serviços,ES002745ATPS,Bodyshop - ID,"ES - Unidade de Projetos, Processos e Inteligência de Dados","800.000,00","229.606,72",0.0,0.0,,2025,Maio
SEBRAE/ES,Atividade,Desenvolvimento de Produtos e Serviços,ES013592ATPS,Bodyshop Automatização de Processos,"ES - Unidade de Projetos, Processos e Inteligência de Dados","1.200.000,00","220.045,01",0.0,0.0,,2025,Maio
SEBRAE/ES,Projeto,Articulação Institucional,ES002716PJAI,Cidade Empreendedora - ES,ES - Unidade de Ambiente de Negócios e Acesso ao Crédito,"6.231.120,00","835.765,62",23.0,16.0,,2025,Maio
SEBRAE/ES,Atividade,Atendimento direto pelo Sebrae,ES013586ATAS,Cliente 360º - Escritório Aracruz,ES - Unidade Regional Central,"3.722.374,00","1.310.544,11",9.282,5.225,,2025,Maio
SEBRAE/ES,Atividade,Atendimento direto pelo Sebrae,ES012989ATAS,Cliente 360º - Escritório Cachoeiro,ES - Unidade Regional Sul,"6.616.849,00","1.326.723,42",12.812,5.682,,2025,Maio
SEBRAE/ES,Atividade,Atendimento direto pelo Sebrae,ES013583ATAS,Cliente 360º - Escritório Colatina,ES - Unidade Regional Central,"6.134.599,00","1.749.852,34",10.876,5.947,,2025,Maio
SEBRAE/ES,Atividade,Atendimento direto pelo Sebrae,ES012988ATAS,Cliente 360º - Escritório Guarapari,ES - Unidade Regional Sul,"5.632.062,00","3.194.944,31",6.303,3.982,,2025,Maio
SEBRAE/ES,Atividade,Atendimento direto pelo Sebrae,ES041809ATAS,Cliente 360º - Escritório Linhares,ES - Unidade Regional Central,"2.735.752,00","339.449,16",8.228,4.061,,2025,Maio
SEBRAE/ES,Atividade,Atendimento direto pelo Sebrae,ES013577ATAS,Cliente 360º - Escritório Nova Venécia,ES - Unidade Regional Norte,"2.466.546,00","762.103,81",6.322,3.373,,2025,Maio
SEBRAE/ES,Atividade,Atendimento direto pelo Sebrae,ES012996ATAS,Cliente 360º - Escritório São Mateus,ES - Unidade Regional Norte,"3.340.546,00","1.769.804,15",5.123,3.495,,2025,Maio
SEBRAE/ES,Atividade,Atendimento direto pelo Sebrae,ES041784ATAS,Cliente 360º - Escritório Venda Nova do Imigrante,ES - Unidade Regional Serrana,"10.246.343,00","2.019.807,11",7.312,4.608,,2025,Maio
SEBRAE/ES,Atividade,Atendimento direto pelo Sebrae,ES012995ATAS,Cliente 360º - Regional Caparaó,ES - Unidade Regional Caparaó,"2.864.929,00","338.618,17",5.09,3.693,,2025,Maio
SEBRAE/ES,Atividade,Atendimento direto pelo Sebrae,ES012502ATAS,Cliente 360º - Regional Metropolitana,ES - Unidade Regional Metropolitana,"15.172.492,00","3.689.201,01",28.371,15.777,,2025,Maio
SEBRAE/ES,Projeto,Atendimento direto pelo Sebrae,ES025692PJAS,Conexões Corporativas Encadeamento Produtivo - Nestlé,ES - Unidade Regional Norte,"495.660,00","132.360,00",0.0,0.0,,2025,Maio
SEBRAE/ES,Projeto,Atendimento pela Rede Sebrae,ES024635PJAR,Crédito Orientado e Assistido no Espírito Santo,ES - Unidade de Ambiente de Negócios e Acesso ao Crédito,"780.000,00","250.238,71",73.0,70.0,,2025,Maio
SEBRAE/ES,Atividade,Gestão Operacional,ES000663ATGO,Custeio Administrativo,ES - Unidade de Administração e TIC,"3.302.159,00","1.137.903,73",0.0,0.0,,2025,Maio
SEBRAE/ES,Projeto,Atendimento direto pelo Sebrae,ES025743PJAS,Acelera Artesanato - Souvenirs Religiosos,ES - Unidade de Competitividade e Produtividade,"224.000,00","90.357,15",0.0,0.0,,2025,Junho
SEBRAE/ES,Projeto,Atendimento direto pelo Sebrae,ES025720PJAS,Acelera Vendas - Agroindústrias Familiares Central,ES - Unidade Regional Central,"1.554.020,00","29.488,94",3.0,3.0,,2025,Junho
SEBRAE/ES,Projeto,Atendimento direto pelo Sebrae,ES025721PJAS,Acelera Vendas - Agroindústrias Familiares Serrana,ES - Unidade Regional Serrana,"564.465,00","27.937,95",5.0,5.0,,2025,Junho
SEBRAE/ES,Projeto,Atendimento direto pelo Sebrae,ES025719PJAS,Acelera Vendas - Agroindústrias Familiares Sul,ES - Unidade Regional Sul,"564.466,00","7.531,95",2.0,2.0,,2025,Junho
SEBRAE/ES,Projeto,Atendimento direto pelo Sebrae,ES025718PJAS,Acelera Vendas - Indústria de Base,ES - Unidade Regional Metropolitana,"1.165.686,00","163.978,18",251.0,236.0,,2025,Junho
SEBRAE/ES,Projeto,Atendimento direto pelo Sebrae,ES025749PJAS,AceleraTur - Aracruz - Bares e Restaurantes,ES - Unidade Regional Central,"80.000,00","5.260,25",0.0,0.0,,2025,Junho
SEBRAE/ES,Projeto,Atendimento direto pelo Sebrae,ES025840PJAS,AceleraTur - Colatina - Bares e Restaurantes,ES - Unidade Regional Central,"80.000,00","0,00",0.0,0.0,,2025,Junho
SEBRAE/ES,Projeto,Atendimento direto pelo Sebrae,ES025750PJAS,AceleraTur - Serrana,ES - Unidade Regional Serrana,"120.000,00","65,00",0.0,0.0,,2025,Junho
SEBRAE/ES,Projeto,Atendimento direto pelo Sebrae,ES025745PJAS,AceleraTur Caparaó,ES - Unidade Regional Caparaó,"180.000,00","10.197,99",0.0,0.0,,2025,Junho
SEBRAE/ES,Projeto,Atendimento direto pelo Sebrae,ES025747PJAS,AceleraTur Metropolitana - Meios de Hospedagem,ES - Unidade Regional Metropolitana,"232.500,00","11.553,64",0.0,0.0,,2025,Junho
SEBRAE/ES,Projeto,Atendimento direto pelo Sebrae,ES025746PJAS,AceleraTur Norte - Rotas quilombolas,ES - Unidade Regional Norte,"120.000,00","34.880,00",0.0,0.0,,2025,Junho
SEBRAE/ES,Projeto,Atendimento direto pelo Sebrae,ES025748PJAS,AceleraTur Sul - Bares e Restaurantes,ES - Unidade Regional Sul,"120.000,00","0,00",27.0,19.0,,2025,Junho
SEBRAE/ES,Atividade,Gestão Operacional,ES000988ATOE,Acompanhamento dos Processos Judiciais,ES - Assessoria Jurídica,"466.700,00","422.159,11",0.0,0.0,,2025,Junho
SEBRAE/ES,Atividade,Gestão Operacional,ES000682ATGO,Administração de Pessoal - Custeio Administrativo,ES - Unidade de Gestão de Pessoas,"395.000,00","171.146,96",0.0,0.0,,2025,Junho
SEBRAE/ES,Projeto,Atendimento direto pelo Sebrae,ES025744PJAS,Agentes de Competitividade,ES - Unidade de Competitividade e Produtividade,"406.203,00","0,00",0.0,0.0,,2025,Junho
SEBRAE/ES,Projeto,Atendimento,ES002782PJAS,ALI Rural,ES - Unidade de Competitividade e Produtividade,"708.400,00","160.073,59",224.0,64.0,,2025,Junho
SEBRAE/ES,Projeto,Inversão Financeira,ES000987PJIF,Amortização de Empréstimos,ES - Assessoria de Planejamento Orçamentário,"3.777.882,00","1.862.291,96",0.0,0.0,,2025,Junho
SEBRAE/ES,Atividade,Desenvolvimento de Produtos e Serviços,ES002745ATPS,Bodyshop - ID,"ES - Unidade de Projetos, Processos e Inteligência de Dados","800.000,00","295.736,62",0.0,0.0,,2025,Junho
SEBRAE/ES,Atividade,Desenvolvimento de Produtos e Serviços,ES013592ATPS,Bodyshop Automatização de Processos,"ES - Unidade de Projetos, Processos e Inteligência de Dados","1.200.000,00","273.462,97",0.0,0.0,,2025,Junho
SEBRAE/ES,Projeto,Articulação Institucional,ES002716PJAI,Cidade Empreendedora - ES,ES - Unidade de Ambiente de Negócios e Acesso ao Crédito,"11.437.349,00","998.532,95",23.0,16.0,,2025,Junho
SEBRAE/ES,Atividade,Atendimento direto pelo Sebrae,ES013586ATAS,Cliente 360º - Escritório Aracruz,ES - Unidade Regional Central,"3.772.374,00","1.746.800,20",11.285,6.204,,2025,Junho
SEBRAE/ES,Atividade,Atendimento direto pelo Sebrae,ES012989ATAS,Cliente 360º - Escritório Cachoeiro,ES - Unidade Regional Sul,"6.982.049,00","1.963.511,44",16.32,7.481,,2025,Junho
SEBRAE/ES,Atividade,Atendimento direto pelo Sebrae,ES013583ATAS,Cliente 360º - Escritório Colatina,ES - Unidade Regional Central,"6.125.099,00","2.373.065,59",13.82,7.453,,2025,Junho
SEBRAE/ES,Atividade,Atendimento direto pelo Sebrae,ES012988ATAS,Cliente 360º - Escritório Guarapari,ES - Unidade Regional Sul,"5.630.062,00","3.626.086,10",8.412,5.291,,2025,Junho
SEBRAE/ES,Atividade,Atendimento direto pelo Sebrae,ES041809ATAS,Cliente 360º - Escritório Linhares,ES - Unidade Regional Central,"2.745.252,00","484.482,49",9.809,4.69,,2025,Junho
SEBRAE/ES,Atividade,Atendimento direto pelo Sebrae,ES013577ATAS,Cliente 360º - Escritório Nova Venécia,ES - Unidade Regional Norte,"2.466.546,00","1.305.282,78",7.951,4.272,,2025,Junho
SEBRAE/ES,Atividade,Atendimento direto pelo Sebrae,ES012996ATAS,Cliente 360º - Escritório São Mateus,ES - Unidade Regional Norte,"3.781.546,00","2.277.753,17",6.227,4.206,,2025,Junho
SEBRAE/ES,Atividade,Atendimento direto pelo Sebrae,ES041784ATAS,Cliente 360º - Escritório Venda Nova do Imigrante,ES - Unidade Regional Serrana,"10.240.590,00","2.630.892,61",9.655,6.095,,2025,Junho
SEBRAE/ES,Atividade,Atendimento direto pelo Sebrae,ES027302ATAS,Cliente 360º - Escritório Vila Velha,ES - Unidade Regional Metropolitana,"495.552,00","78,38",4.0,4.0,,2025,Junho
SEBRAE/ES,Atividade,Atendimento direto pelo Sebrae,ES012995ATAS,Cliente 360º - Regional Caparaó,ES - Unidade Regional Caparaó,"2.924.929,00","922.387,38",6.63,4.695,,2025,Junho
SEBRAE/ES,Atividade,Atendimento direto pelo Sebrae,ES012502ATAS,Cliente 360º - Regional Metropolitana,ES - Unidade Regional Metropolitana,"16.518.506,00","4.963.070,00",36.332,20.68,,2025,Junho
SEBRAE/ES,Projeto,Atendimento direto pelo Sebrae,ES025692PJAS,Conexões Corporativas Encadeamento Produtivo - Nestlé,ES - Unidade Regional Norte,"495.660,00","182.892,00",0.0,0.0,,2025,Junho
SEBRAE/ES,Projeto,Atendimento pela Rede Sebrae,ES024635PJAR,Crédito Orientado e Assistido no Espírito Santo,ES - Unidade de Ambiente de Negócios e Acesso ao Crédito,"780.000,00","326.917,56",262.0,254.0,,2025,Junho
SEBRAE/ES,Projeto,Atendimento direto pelo Sebrae,ES025743PJAS,Acelera Artesanato - Souvenirs Religiosos,ES - Unidade de Competitividade e Produtividade,"224.000,00","90.422,15",0.0,0.0,,2025,Julho
SEBRAE/ES,Projeto,Atendimento direto pelo Sebrae,ES025720PJAS,Acelera Vendas - Agroindústrias Familiares Central,ES - Unidade Regional Central,"1.554.020,00","99.560,94",9.0,9.0,,2025,Julho
SEBRAE/ES,Projeto,Atendimento direto pelo Sebrae,ES025721PJAS,Acelera Vendas - Agroindústrias Familiares Serrana,ES - Unidade Regional Serrana,"564.465,00","56.492,95",14.0,10.0,,2025,Julho
SEBRAE/ES,Projeto,Atendimento direto pelo Sebrae,ES025719PJAS,Acelera Vendas - Agroindústrias Familiares Sul,ES - Unidade Regional Sul,"564.466,00","92.109,95",4.0,4.0,,2025,Julho
SEBRAE/ES,Projeto,Atendimento direto pelo Sebrae,ES025718PJAS,Acelera Vendas - Indústria de Base,ES - Unidade Regional Metropolitana,"1.186.786,00","209.645,18",304.0,279.0,,2025,Julho
SEBRAE/ES,Projeto,Atendimento direto pelo Sebrae,ES025749PJAS,AceleraTur - Aracruz - Bares e Restaurantes,ES - Unidade Regional Central,"80.000,00","23.861,50",1.0,1.0,,2025,Julho
SEBRAE/ES,Projeto,Atendimento direto pelo Sebrae,ES025840PJAS,AceleraTur - Colatina - Bares e Restaurantes,ES - Unidade Regional Central,"80.000,00","2.760,00",0.0,0.0,,2025,Julho
SEBRAE/ES,Projeto,Atendimento direto pelo Sebrae,ES025750PJAS,AceleraTur - Serrana,ES - Unidade Regional Serrana,"136.000,00","34.381,00",0.0,0.0,,2025,Julho
SEBRAE/ES,Projeto,Atendimento direto pelo Sebrae,ES025745PJAS,AceleraTur Caparaó,ES - Unidade Regional Caparaó,"180.000,00","20.066,49",0.0,0.0,,2025,Julho
SEBRAE/ES,Projeto,Atendimento direto pelo Sebrae,ES025747PJAS,AceleraTur Metropolitana - Meios de Hospedagem,ES - Unidade Regional Metropolitana,"232.500,00","83.580,97",0.0,0.0,,2025,Julho
SEBRAE/ES,Projeto,Atendimento direto pelo Sebrae,ES025746PJAS,AceleraTur Norte - Rotas quilombolas,ES - Unidade Regional Norte,"120.000,00","34.880,00",0.0,0.0,,2025,Julho
SEBRAE/ES,Projeto,Atendimento direto pelo Sebrae,ES025748PJAS,AceleraTur Sul - Bares e Restaurantes,ES - Unidade Regional Sul,"104.000,00","1.098,00",27.0,19.0,,2025,Julho
SEBRAE/ES,Atividade,Gestão Operacional,ES000988ATOE,Acompanhamento dos Processos Judiciais,ES - Assessoria Jurídica,"468.200,00","423.316,12",0.0,0.0,,2025,Julho
SEBRAE/ES,Atividade,Gestão Operacional,ES000682ATGO,Administração de Pessoal - Custeio Administrativo,ES - Unidade de Gestão de Pessoas,"395.000,00","227.513,32",0.0,0.0,,2025,Julho
SEBRAE/ES,Projeto,Atendimento direto pelo Sebrae,ES025744PJAS,Agentes de Competitividade,ES - Unidade de Competitividade e Produtividade,"0,00","0,00",0.0,0.0,,2025,Julho
SEBRAE/ES,Projeto,Atendimento,ES002782PJAS,ALI Rural,ES - Unidade de Competitividade e Produtividade,"708.400,00","200.312,87",332.0,65.0,,2025,Julho
SEBRAE/ES,Projeto,Inversão Financeira,ES000987PJIF,Amortização de Empréstimos,ES - Assessoria de Planejamento Orçamentário,"3.777.882,00","2.180.515,84",0.0,0.0,,2025,Julho
SEBRAE/ES,Atividade,Desenvolvimento de Produtos e Serviços,ES002745ATPS,Bodyshop - ID,"ES - Unidade de Projetos, Processos e Inteligência de Dados","800.000,00","352.003,46",0.0,0.0,,2025,Julho
SEBRAE/ES,Atividade,Desenvolvimento de Produtos e Serviços,ES013592ATPS,Bodyshop Automatização de Processos,"ES - Unidade de Projetos, Processos e Inteligência de Dados","855.000,00","326.880,93",0.0,0.0,,2025,Julho
SEBRAE/ES,Projeto,Articulação Institucional,ES002716PJAI,Cidade Empreendedora - ES,ES - Unidade de Ambiente de Negócios e Acesso ao Crédito,"11.547.349,00","7.587.813,63",23.0,16.0,,2025,Julho
SEBRAE/ES,Atividade,Atendimento direto pelo Sebrae,ES013586ATAS,Cliente 360º - Escritório Aracruz,ES - Unidade Regional Central,"3.772.374,00","1.934.079,24",13.671,7.186,,2025,Julho
SEBRAE/ES,Atividade,Atendimento direto pelo Sebrae,ES012989ATAS,Cliente 360º - Escritório Cachoeiro,ES - Unidade Regional Sul,"6.982.049,00","2.646.537,83",19.514,8.694,,2025,Julho
SEBRAE/ES,Atividade,Atendimento direto pelo Sebrae,ES027530ATAS,Cliente 360º - Escritório Centro Vitória,ES - Unidade Regional Metropolitana,"677.320,00","0,00",1.0,1.0,,2025,Julho
SEBRAE/ES,Atividade,Atendimento direto pelo Sebrae,ES013583ATAS,Cliente 360º - Escritório Colatina,ES - Unidade Regional Central,"8.899.139,00","3.870.185,99",16.54,8.729,,2025,Julho
SEBRAE/ES,Atividade,Atendimento direto pelo Sebrae,ES012988ATAS,Cliente 360º - Escritório Guarapari,ES - Unidade Regional Sul,"6.579.262,00","3.740.977,63",9.821,6.011,,2025,Julho
SEBRAE/ES,Atividade,Atendimento direto pelo Sebrae,ES041809ATAS,Cliente 360º - Escritório Linhares,ES - Unidade Regional Central,"2.745.252,00","605.689,91",11.608,5.364,,2025,Julho
SEBRAE/ES,Atividade,Atendimento direto pelo Sebrae,ES013577ATAS,Cliente 360º - Escritório Nova Venécia,ES - Unidade Regional Norte,"3.401.046,00","1.445.455,06",9.501,4.962,,2025,Julho
SEBRAE/ES,Atividade,Atendimento direto pelo Sebrae,ES012996ATAS,Cliente 360º - Escritório São Mateus,ES - Unidade Regional Norte,"3.992.546,00","2.417.381,24",7.253,4.793,,2025,Julho
SEBRAE/ES,Atividade,Atendimento direto pelo Sebrae,ES041784ATAS,Cliente 360º - Escritório Venda Nova do Imigrante,ES - Unidade Regional Serrana,"10.252.790,00","3.644.821,27",12.305,7.697,,2025,Julho
SEBRAE/ES,Atividade,Atendimento direto pelo Sebrae,ES027302ATAS,Cliente 360º - Escritório Vila Velha,ES - Unidade Regional Metropolitana,"495.552,00","7.506,63",368.0,338.0,,2025,Julho
SEBRAE/ES,Atividade,Atendimento direto pelo Sebrae,ES012995ATAS,Cliente 360º - Regional Caparaó,ES - Unidade Regional Caparaó,"3.183.758,00","1.840.985,48",8.479,5.835,,2025,Julho
SEBRAE/ES,Atividade,Atendimento direto pelo Sebrae,ES012502ATAS,Cliente 360º - Regional Metropolitana,ES - Unidade Regional Metropolitana,"18.099.727,00","6.534.931,98",45.625,25.33,,2025,Julho
SEBRAE/ES,Projeto,Atendimento direto pelo Sebrae,ES025692PJAS,Conexões Corporativas Encadeamento Produtivo - Nestlé,ES - Unidade Regional Norte,"495.660,00","240.180,00",0.0,0.0,,2025,Julho
SEBRAE/ES,Projeto,Atendimento direto pelo Sebrae,ES025743PJAS,Acelera Artesanato - Souvenirs Religiosos,ES - Unidade de Competitividade e Produtividade,"245.476,00","92.612,14",0.0,0.0,,2025,Agosto
SEBRAE/ES,Projeto,Atendimento direto pelo Sebrae,ES025720PJAS,Acelera Vendas - Agroindústrias Familiares Central,ES - Unidade Regional Central,"1.133.277,00","909.102,94",9.0,9.0,,2025,Agosto
SEBRAE/ES,Projeto,Atendimento direto pelo Sebrae,ES025721PJAS,Acelera Vendas - Agroindústrias Familiares Serrana,ES - Unidade Regional Serrana,"154.087,00","65.830,95",14.0,10.0,,2025,Agosto
SEBRAE/ES,Projeto,Atendimento direto pelo Sebrae,ES025719PJAS,Acelera Vendas - Agroindústrias Familiares Sul,ES - Unidade Regional Sul,"316.408,00","122.477,95",4.0,4.0,,2025,Agosto
SEBRAE/ES,Projeto,Atendimento direto pelo Sebrae,ES027702PJAS,Acelera Vendas - Agroindústrias Familiares URC,ES - Unidade Regional Central,"420.743,00","0,00",0.0,0.0,,2025,Agosto
SEBRAE/ES,Projeto,Atendimento direto pelo Sebrae,ES027704PJAS,Acelera Vendas - Agroindústrias Familiares URS,ES - Unidade Regional Sul,"248.058,00","0,00",0.0,0.0,,2025,Agosto
SEBRAE/ES,Projeto,Atendimento direto pelo Sebrae,ES027703PJAS,Acelera Vendas - Agroindústrias Familiares URSR,ES - Unidade Regional Serrana,"410.378,00","0,00",0.0,0.0,,2025,Agosto
